Description,Footprint,Comment,Mid X,Mid Y, Rotation, Layer
C11,"0402","22pF",17.61,25.91,270,top
C12,"0402","22pF",14.91,27.11,270,top
R6,"0402","68k",37.40,25.30,180,top
C8,"0402","100nF",37.24,12.88,180,top
C9,"0402","100nF",35.70,13.20,270,top
R9,"0402","10k",1.32,15.89,90,top
LED1,"0603","blue",2.09,13.96,180,top
U8,"EL357N","EL357N",15.70,11.92,270,top
U9,"EL357N","EL357N",10.03,11.89,270,top
C1,"1206","10uF/50V",38.10,23.70,0,top
R10,"0402","3.3k",5.18,14.23,90,top
D2,"DO-214AA","20V",37.60,18.90,270,top
R15,"0402","1.5k",11.30,18.30,90,top
R14,"0402","3.3k",6.70,16.20,90,top
LED3,"0603","red",6.15,2.64,90,top
R13,"0402","1.5k",18.80,14.18,270,top
R12,"0402","3.3k",18.85,6.36,90,top
LED2,"0603","red",19.10,2.64,90,top
C5,"0402","100nF",21.90,14.10,0,top
R7,"0402","1M",39.85,19.36,270,top
R8,"0402","47k",35.27,19.25,180,top
R11,"0402","10k",20.20,16.60,90,top
U4,"SO8","AO4407A",47.09,14.00,180,top
U5,"SO8","AO4407A",42.00,13.97,180,top
U10,"SO8","AO4407A",48.35,21.82,0,top
U11,"SO8","AO4407A",43.27,21.80,0,top
C2,"EIA3528","100uF/6.3v",32.84,22.61,180,top
Q1,"SOT23","AO3400A",26.33,21.10,180,top
U2,"SO16","SP3232",30.34,13.57,180,top
C6,"0402","100nF",32.73,18.10,0,top
C7,"0402","100nF",30.30,18.10,0,top
C10,"0402","100nF",27.87,18.10,180,top
U3,"TQFN32_5","atmega328",12.78,23.02,180,top
R3,"0402","200k",39.91,27.48,90,top
R5,"0402","27k",38.27,32.53,270,top
R4,"0402","100k",39.84,29.76,270,top
D1,"DO-214AA","SS34",34.72,33.20,180,top
R1,"0402","120k",32.20,25.40,0,top
C4,"0402","10nF",35.10,31.00,180,top
R2,"0402","39k",34.00,25.40,180,top
C3,"0402","220pF",35.80,25.30,180,top
U1,"SO8","MP1584",35.32,28.36,270,top
